filename,label_index,label,st_frame,end_frame
s08-d02-cam-002,42,spice,7615,7773
s08-d02-cam-002,38,screw close,7777,7800
s08-d02-cam-002,39,screw open,7821,7863
s08-d02-cam-002,41,smell,7863,7876
s08-d02-cam-002,42,spice,7877,8010
s08-d02-cam-002,38,screw close,8010,8055
s08-d02-cam-002,52,take \& put in spice holder,8055,8128
s08-d02-cam-002,54,take out from cupboard,8171,8252
s08-d02-cam-002,39,screw open,8265,8321
s08-d02-cam-002,26,pour,8321,8475
s08-d02-cam-002,38,screw close,8485,8551
s08-d02-cam-002,48,take \& put in cupboard,8551,8620
s08-d02-cam-002,55,take out from drawer,8666,8793
s08-d02-cam-002,15,mix,8805,9358
s08-d02-cam-002,58,take out from spice holder,9390,9415
s08-d02-cam-002,39,screw open,9417,9468
s08-d02-cam-002,42,spice,9468,9552
s08-d02-cam-002,38,screw close,9552,9601
s08-d02-cam-002,52,take \& put in spice holder,9601,9638
s08-d02-cam-002,15,mix,9657,9847
s08-d02-cam-002,16,move from X to Y,9880,9928
s08-d02-cam-002,1, Background activity,1,119
s08-d02-cam-002,1, Background activity,304,357
s08-d02-cam-002,1, Background activity,1006,1073
s08-d02-cam-002,1, Background activity,1398,1432
s08-d02-cam-002,1, Background activity,2836,2945
s08-d02-cam-002,1, Background activity,4567,4686
s08-d02-cam-002,1, Background activity,4927,4964
s08-d02-cam-002,1, Background activity,5651,5732
s08-d02-cam-002,1, Background activity,5941,6040
s08-d02-cam-002,1, Background activity,6093,6140
s08-d02-cam-002,1, Background activity,6415,6449
s08-d02-cam-002,1, Background activity,7273,7302
s08-d02-cam-002,1, Background activity,8129,8170
s08-d02-cam-002,1, Background activity,8621,8665
s08-d02-cam-002,1, Background activity,9359,9389
s08-d02-cam-002,1, Background activity,9848,9879
s08-d02-cam-002,1, Background activity,9929,10005
s08-d04-cam-002,54,take out from cupboard,133,369
s08-d04-cam-002,55,take out from drawer,369,510
s08-d04-cam-002,24,peel,566,1781
s08-d04-cam-002,24,peel,1789,2690
s08-d04-cam-002,1, Background activity,2716,2841
s08-d04-cam-002,1, Background activity,2847,2979
s08-d04-cam-002,60,throw in garbage,2979,3187
s08-d04-cam-002,55,take out from drawer,3199,3336
s08-d04-cam-002,49,take \& put in drawer,3359,3401
s08-d04-cam-002,55,take out from drawer,3401,3445
s08-d04-cam-002,7,cut out inside,3482,3589
s08-d04-cam-002,53,take ingredient apart,3589,3628
s08-d04-cam-002,24,peel,3634,3707
s08-d04-cam-002,60,throw in garbage,3766,3847
s08-d04-cam-002,62,wash hands,3860,3995
s08-d04-cam-002,63,wash objects,4000,4236
s08-d04-cam-002,40,shake,4236,4323
s08-d04-cam-002,20,open/close drawer,4330,4410
s08-d04-cam-002,55,take out from drawer,4446,4513
s08-d04-cam-002,20,open/close drawer,4522,4561
s08-d04-cam-002,55,take out from drawer,4568,4642
s08-d04-cam-002,12,grate,4696,5966
s08-d04-cam-002,12,grate,5996,6838
s08-d04-cam-002,62,wash hands,6919,6989
s08-d04-cam-002,40,shake,6989,7017
s08-d04-cam-002,10,dry,7040,7090
s08-d04-cam-002,56,take out from fridge,7092,7355
s08-d04-cam-002,56,take out from fridge,7362,7540
s08-d04-cam-002,24,peel,7621,8153
s08-d04-cam-002,24,peel,8196,8901
s08-d04-cam-002,63,wash objects,8948,9041
s08-d04-cam-002,40,shake,9045,9133
s08-d04-cam-002,55,take out from drawer,9133,9209
s08-d04-cam-002,6,cut off ends,9247,9310
s08-d04-cam-002,40,shake,9342,9382
s08-d04-cam-002,12,grate,9400,10235
s08-d04-cam-002,12,grate,10320,10595
s08-d04-cam-002,12,grate,10642,10751
s08-d04-cam-002,62,wash hands,10890,10927
s08-d04-cam-002,40,shake,10927,10998
s08-d04-cam-002,37,scratch off,11025,11197
s08-d04-cam-002,16,move from X to Y,11202,11251
s08-d04-cam-002,62,wash hands,11251,11319
s08-d04-cam-002,40,shake,11319,11372
s08-d04-cam-002,17,open egg,11434,11577
s08-d04-cam-002,60,throw in garbage,11670,11794
s08-d04-cam-002,60,throw in garbage,12005,12089
s08-d04-cam-002,62,wash hands,12093,12184
s08-d04-cam-002,40,shake,12183,12219
s08-d04-cam-002,16,move from X to Y,12219,12251
s08-d04-cam-002,10,dry,12251,12313
s08-d04-cam-002,55,take out from drawer,12355,12538
s08-d04-cam-002,46,stir,12540,12903
s08-d04-cam-002,58,take out from spice holder,12948,12982
s08-d04-cam-002,58,take out from spice holder,12988,13019
s08-d04-cam-002,34,read,13019,13062
s08-d04-cam-002,39,screw open,13062,13087
s08-d04-cam-002,41,smell,13091,13113
s08-d04-cam-002,38,screw close,13119,13150
s08-d04-cam-002,34,read,13157,13399
s08-d04-cam-002,58,take out from spice holder,13399,13443
s08-d04-cam-002,58,take out from spice holder,13443,13448
s08-d04-cam-002,39,screw open,13452,13485
s08-d04-cam-002,41,smell,13488,13517
s08-d04-cam-002,38,screw close,13517,13576
s08-d04-cam-002,52,take \& put in spice holder,13580,13599
s08-d04-cam-002,58,take out from spice holder,13603,13687
s08-d04-cam-002,39,screw open,13691,13712
s08-d04-cam-002,42,spice,13719,13830
s08-d04-cam-002,41,smell,13832,13854
s08-d04-cam-002,42,spice,13856,13895
s08-d04-cam-002,38,screw close,13914,14012
s08-d04-cam-002,39,screw open,14037,14059
s08-d04-cam-002,42,spice,14064,14191
s08-d04-cam-002,38,screw close,14193,14229
s08-d04-cam-002,39,screw open,14250,14280
s08-d04-cam-002,42,spice,14287,14378
s08-d04-cam-002,38,screw close,14383,14427
s08-d04-cam-002,52,take \& put in spice holder,14436,14547
s08-d04-cam-002,46,stir,14580,15017
s08-d04-cam-002,54,take out from cupboard,15080,15481
s08-d04-cam-002,20,open/close drawer,15528,15595
s08-d04-cam-002,55,take out from drawer,15595,15880
s08-d04-cam-002,20,open/close drawer,16102,16155
s08-d04-cam-002,6,cut off ends,16230,16345
s08-d04-cam-002,24,peel,16354,16467
s08-d04-cam-002,24,peel,16474,16702
s08-d04-cam-002,3,cut apart,16711,16796
s08-d04-cam-002,24,peel,16816,17301
s08-d04-cam-002,24,peel,17336,17491
s08-d04-cam-002,24,peel,17519,17837
s08-d04-cam-002,8,cut slices,17948,18590
s08-d04-cam-002,4,cut dice,18590,19135
s08-d04-cam-002,8,cut slices,19206,19664
s08-d04-cam-002,4,cut dice,19664,20034
s08-d04-cam-002,60,throw in garbage,20196,20263
s08-d04-cam-002,62,wash hands,20291,20440
s08-d04-cam-002,40,shake,20440,20468
s08-d04-cam-002,10,dry,20468,20541
s08-d04-cam-002,55,take out from drawer,20653,20712
s08-d04-cam-002,54,take out from cupboard,20772,20945
s08-d04-cam-002,39,screw open,20961,21004
s08-d04-cam-002,26,pour,21012,21212
s08-d04-cam-002,38,screw close,21214,21247
s08-d04-cam-002,43,spread,21258,21371
s08-d04-cam-002,2,change temperature,21415,21482
s08-d04-cam-002,2,change temperature,21483,21605
s08-d04-cam-002,40,shake,21606,21647
s08-d04-cam-002,39,screw open,21661,21704
s08-d04-cam-002,26,pour,21708,21787
s08-d04-cam-002,38,screw close,21790,21840
s08-d04-cam-002,43,spread,21845,22016
s08-d04-cam-002,1, Background activity,22016,22074
s08-d04-cam-002,1, Background activity,22100,22139
s08-d04-cam-002,30,put in pan/pot,22224,22449
s08-d04-cam-002,40,shake,22562,22620
s08-d04-cam-002,63,wash objects,22847,22955
s08-d04-cam-002,40,shake,23119,23256
s08-d04-cam-002,40,shake,23400,23433
s08-d04-cam-002,46,stir,23433,23880
s08-d04-cam-002,39,screw open,23946,23979
s08-d04-cam-002,26,pour,23984,24051
s08-d04-cam-002,38,screw close,24055,24215
s08-d04-cam-002,46,stir,24227,24389
s08-d04-cam-002,1, Background activity,24389,24420
s08-d04-cam-002,2,change temperature,24420,24523
s08-d04-cam-002,63,wash objects,24609,24757
s08-d04-cam-002,65,wipe clean,24790,24944
s08-d04-cam-002,10,dry,24968,25053
s08-d04-cam-002,40,shake,25115,25134
s08-d04-cam-002,46,stir,25137,25227
s08-d04-cam-002,55,take out from drawer,25408,25612
s08-d04-cam-002,46,stir,25616,25815
s08-d04-cam-002,41,smell,25819,25860
s08-d04-cam-002,59,taste,25894,25935
s08-d04-cam-002,58,take out from spice holder,26011,26041
s08-d04-cam-002,39,screw open,26042,26071
s08-d04-cam-002,42,spice,26076,26221
s08-d04-cam-002,38,screw close,26227,26279
s08-d04-cam-002,52,take \& put in spice holder,26280,26305
s08-d04-cam-002,58,take out from spice holder,26308,26331
s08-d04-cam-002,34,read,26331,26360
s08-d04-cam-002,39,screw open,26372,26399
s08-d04-cam-002,41,smell,26404,26423
s08-d04-cam-002,42,spice,26428,26505
s08-d04-cam-002,38,screw close,26511,26559
s08-d04-cam-002,52,take \& put in spice holder,26561,26584
s08-d04-cam-002,46,stir,26664,26861
s08-d04-cam-002,40,shake,26861,26888
s08-d04-cam-002,46,stir,26888,26985
s08-d04-cam-002,46,stir,27008,27589
s08-d04-cam-002,40,shake,27813,27843
s08-d04-cam-002,46,stir,27843,27944
s08-d04-cam-002,40,shake,27944,27974
s08-d04-cam-002,46,stir,27974,28029
s08-d04-cam-002,40,shake,28029,28064
s08-d04-cam-002,46,stir,28064,28338
s08-d04-cam-002,40,shake,29182,29205
s08-d04-cam-002,46,stir,29205,29648
s08-d04-cam-002,40,shake,29648,29677
s08-d04-cam-002,46,stir,30025,30378
s08-d04-cam-002,46,stir,30406,30481
s08-d04-cam-002,40,shake,30481,30511
s08-d04-cam-002,39,screw open,30538,30594
s08-d04-cam-002,38,screw close,30671,30745
s08-d04-cam-002,40,shake,30773,30804
s08-d04-cam-002,46,stir,30804,31107
s08-d04-cam-002,40,shake,31107,31129
s08-d04-cam-002,46,stir,31129,31180
s08-d04-cam-002,40,shake,31180,31195
s08-d04-cam-002,46,stir,31195,31353
s08-d04-cam-002,40,shake,31353,31409
s08-d04-cam-002,46,stir,31573,31742
s08-d04-cam-002,39,screw open,31783,31798
s08-d04-cam-002,26,pour,31801,31890
s08-d04-cam-002,38,screw close,31894,31928
s08-d04-cam-002,40,shake,31957,31983
s08-d04-cam-002,46,stir,31983,32102
s08-d04-cam-002,40,shake,32102,32142
s08-d04-cam-002,40,shake,32285,32316
s08-d04-cam-002,46,stir,32386,32615
s08-d04-cam-002,40,shake,32615,32651
s08-d04-cam-002,46,stir,32651,32720
s08-d04-cam-002,46,stir,32763,32863
s08-d04-cam-002,32,put on cutting-board,32881,32930
s08-d04-cam-002,30,put in pan/pot,32980,33114
s08-d04-cam-002,46,stir,33122,33445
s08-d04-cam-002,40,shake,33750,33785
s08-d04-cam-002,1, Background activity,1,132
s08-d04-cam-002,1, Background activity,511,565
s08-d04-cam-002,1, Background activity,3446,3481
s08-d04-cam-002,1, Background activity,3708,3765
s08-d04-cam-002,1, Background activity,4411,4445
s08-d04-cam-002,1, Background activity,4643,4695
s08-d04-cam-002,1, Background activity,6839,6918
s08-d04-cam-002,1, Background activity,7541,7620
s08-d04-cam-002,1, Background activity,8154,8195
s08-d04-cam-002,1, Background activity,8902,8947
s08-d04-cam-002,1, Background activity,9210,9246
s08-d04-cam-002,1, Background activity,9311,9341
s08-d04-cam-002,1, Background activity,10236,10319
s08-d04-cam-002,1, Background activity,10596,10641
s08-d04-cam-002,1, Background activity,10752,10889
s08-d04-cam-002,1, Background activity,11373,11433
s08-d04-cam-002,1, Background activity,11578,11669
s08-d04-cam-002,1, Background activity,11795,12004
s08-d04-cam-002,1, Background activity,12314,12354
s08-d04-cam-002,1, Background activity,12904,12947
s08-d04-cam-002,1, Background activity,14548,14579
s08-d04-cam-002,1, Background activity,15018,15079
s08-d04-cam-002,1, Background activity,15482,15527
s08-d04-cam-002,1, Background activity,15881,16101
s08-d04-cam-002,1, Background activity,16156,16229
s08-d04-cam-002,1, Background activity,17302,17335
s08-d04-cam-002,1, Background activity,17838,17947
s08-d04-cam-002,1, Background activity,19136,19205
s08-d04-cam-002,1, Background activity,20035,20195
s08-d04-cam-002,1, Background activity,20542,20652
s08-d04-cam-002,1, Background activity,20713,20771
s08-d04-cam-002,1, Background activity,21372,21414
s08-d04-cam-002,1, Background activity,22140,22223
s08-d04-cam-002,1, Background activity,22450,22561
s08-d04-cam-002,1, Background activity,22621,22846
s08-d04-cam-002,1, Background activity,22956,23118
s08-d04-cam-002,1, Background activity,23257,23399
s08-d04-cam-002,1, Background activity,23881,23945
s08-d04-cam-002,1, Background activity,24524,24608
s08-d04-cam-002,1, Background activity,24758,24789
s08-d04-cam-002,1, Background activity,25054,25114
s08-d04-cam-002,1, Background activity,25228,25407
s08-d04-cam-002,1, Background activity,25861,25893
s08-d04-cam-002,1, Background activity,25936,26010
s08-d04-cam-002,1, Background activity,26585,26663
s08-d04-cam-002,1, Background activity,27590,27812
s08-d04-cam-002,1, Background activity,28339,29181
s08-d04-cam-002,1, Background activity,29678,30024
s08-d04-cam-002,1, Background activity,30595,30670
s08-d04-cam-002,1, Background activity,31410,31572
s08-d04-cam-002,1, Background activity,31743,31782
s08-d04-cam-002,1, Background activity,32143,32284
s08-d04-cam-002,1, Background activity,32317,32385
s08-d04-cam-002,1, Background activity,32721,32762
s08-d04-cam-002,1, Background activity,32931,32979
s08-d04-cam-002,1, Background activity,33446,33749
s08-d04-cam-002,1, Background activity,33786,34129
s08-d11-cam-002,55,take out from drawer,201,454
s08-d11-cam-002,55,take out from drawer,458,506
s08-d11-cam-002,55,take out from drawer,581,684
s08-d11-cam-002,54,take out from cupboard,1347,1523
s08-d11-cam-002,55,take out from drawer,1538,1647
s08-d11-cam-002,3,cut apart,1653,1775
s08-d11-cam-002,44,squeeze,1805,2594
s08-d11-cam-002,44,squeeze,2625,3237
s08-d11-cam-002,24,peel,3354,4316
s08-d11-cam-002,63,wash objects,4337,4386
s08-d11-cam-002,40,shake,4386,4404
s08-d11-cam-002,63,wash objects,4404,4481
s08-d11-cam-002,3,cut apart,4538,4594
s08-d11-cam-002,24,peel,4674,5716
s08-d11-cam-002,63,wash objects,5734,5832
s08-d11-cam-002,40,shake,5832,5874
s08-d11-cam-002,3,cut apart,5903,5990
s08-d11-cam-002,40,shake,6023,6051
s08-d11-cam-002,62,wash hands,6073,6125
s08-d11-cam-002,10,dry,6136,6199
s08-d11-cam-002,55,take out from drawer,6297,6399
s08-d11-cam-002,27,pull out,6421,6493
s08-d11-cam-002,25,plug in/out,6517,6702
s08-d11-cam-002,28,puree,6713,7523
s08-d11-cam-002,54,take out from cupboard,7695,7900
s08-d11-cam-002,55,take out from drawer,7907,8011
s08-d11-cam-002,18,open tin,8245,9910
s08-d11-cam-002,18,open tin,9957,10330
s08-d11-cam-002,29,put in bowl,10388,10569
s08-d11-cam-002,28,puree,10612,11362
s08-d11-cam-002,41,smell,11389,11427
s08-d11-cam-002,26,pour,11629,11778
s08-d11-cam-002,62,wash hands,11879,11933
s08-d11-cam-002,10,dry,11946,11992
s08-d11-cam-002,26,pour,12018,12114
s08-d11-cam-002,28,puree,12209,12857
s08-d11-cam-002,56,take out from fridge,12896,12974
s08-d11-cam-002,41,smell,13031,13039
s08-d11-cam-002,26,pour,13052,13092
s08-d11-cam-002,26,pour,13555,13646
s08-d11-cam-002,50,take \& put in fridge,13691,13769
s08-d11-cam-002,28,puree,13800,13996
s08-d11-cam-002,55,take out from drawer,14045,14124
s08-d11-cam-002,59,taste,14136,14199
s08-d11-cam-002,46,stir,14206,14242
s08-d11-cam-002,59,taste,14254,14281
s08-d11-cam-002,16,move from X to Y,14281,14308
s08-d11-cam-002,54,take out from cupboard,14330,14601
s08-d11-cam-002,26,pour,14616,14697
s08-d11-cam-002,26,pour,14718,14783
s08-d11-cam-002,26,pour,14798,14982
s08-d11-cam-002,16,move from X to Y,14995,15053
s08-d11-cam-002,1, Background activity,1,200
s08-d11-cam-002,1, Background activity,507,580
s08-d11-cam-002,1, Background activity,685,1346
s08-d11-cam-002,1, Background activity,2595,2624
s08-d11-cam-002,1, Background activity,3238,3353
s08-d11-cam-002,1, Background activity,4482,4537
s08-d11-cam-002,1, Background activity,4595,4673
s08-d11-cam-002,1, Background activity,5991,6022
s08-d11-cam-002,1, Background activity,6200,6296
s08-d11-cam-002,1, Background activity,7524,7694
s08-d11-cam-002,1, Background activity,8012,8244
s08-d11-cam-002,1, Background activity,9911,9956
s08-d11-cam-002,1, Background activity,10331,10387
s08-d11-cam-002,1, Background activity,10570,10611
s08-d11-cam-002,1, Background activity,11428,11628
s08-d11-cam-002,1, Background activity,11779,11878
s08-d11-cam-002,1, Background activity,12115,12208
s08-d11-cam-002,1, Background activity,12858,12895
s08-d11-cam-002,1, Background activity,12975,13030
s08-d11-cam-002,1, Background activity,13093,13554
s08-d11-cam-002,1, Background activity,13647,13690
s08-d11-cam-002,1, Background activity,13770,13799
s08-d11-cam-002,1, Background activity,13997,14044
s08-d11-cam-002,1, Background activity,15054,15131
s08-d14-cam-002,55,take out from drawer,68,297
s08-d14-cam-002,16,move from X to Y,315,380
s08-d14-cam-002,63,wash objects,386,508
s08-d14-cam-002,11,fill water from tap,521,823
s08-d14-cam-002,16,move from X to Y,833,945
s08-d14-cam-002,2,change temperature,1019,1075
s08-d14-cam-002,2,change temperature,1083,1199
s08-d14-cam-002,49,take \& put in drawer,1291,1398
s08-d14-cam-002,54,take out from cupboard,1448,1688
s08-d14-cam-002,54,take out from cupboard,1739,2074
s08-d14-cam-002,36,rip open,2212,2249
s08-d14-cam-002,41,smell,2290,2312
s08-d14-cam-002,16,move from X to Y,2317,2396
s08-d14-cam-002,60,throw in garbage,2438,2555
s08-d14-cam-002,55,take out from drawer,2613,2686
s08-d14-cam-002,46,stir,2696,2860
s08-d14-cam-002,1, Background activity,2873,2903
s08-d14-cam-002,20,open/close drawer,3010,3088
s08-d14-cam-002,55,take out from drawer,3092,3285
s08-d14-cam-002,1, Background activity,3544,3779
s08-d14-cam-002,16,move from X to Y,3798,3877
s08-d14-cam-002,26,pour,4819,5048
s08-d14-cam-002,26,pour,5073,5188
s08-d14-cam-002,26,pour,5202,5292
s08-d14-cam-002,46,stir,5341,5713
s08-d14-cam-002,1, Background activity,1,67
s08-d14-cam-002,1, Background activity,946,1018
s08-d14-cam-002,1, Background activity,1200,1290
s08-d14-cam-002,1, Background activity,1399,1447
s08-d14-cam-002,1, Background activity,1689,1738
s08-d14-cam-002,1, Background activity,2075,2211
s08-d14-cam-002,1, Background activity,2250,2289
s08-d14-cam-002,1, Background activity,2397,2437
s08-d14-cam-002,1, Background activity,2556,2612
s08-d14-cam-002,1, Background activity,2904,3009
s08-d14-cam-002,1, Background activity,3286,3543
s08-d14-cam-002,1, Background activity,3878,4818
s08-d14-cam-002,1, Background activity,5293,5340
s08-d14-cam-002,1, Background activity,5714,5774
s10-d02-cam-002,56,take out from fridge,310,560
s10-d02-cam-002,50,take \& put in fridge,703,825
s10-d02-cam-002,56,take out from fridge,831,874
s10-d02-cam-002,56,take out from fridge,884,910
s10-d02-cam-002,56,take out from fridge,1036,1084
s10-d02-cam-002,56,take out from fridge,1179,1233
s10-d02-cam-002,21,open/close fridge,1251,1330
s10-d02-cam-002,16,move from X to Y,1454,1518
s10-d02-cam-002,20,open/close drawer,1628,1807
s10-d02-cam-002,20,open/close drawer,1907,1976
s10-d02-cam-002,55,take out from drawer,2010,2107
s10-d02-cam-002,55,take out from drawer,2180,2215
s10-d02-cam-002,63,wash objects,2319,2684
s10-d02-cam-002,63,wash objects,2719,2929
s10-d02-cam-002,63,wash objects,2983,3215
s10-d02-cam-002,53,take ingredient apart,3277,3296
s10-d02-cam-002,63,wash objects,3296,3540
s10-d02-cam-002,53,take ingredient apart,3609,3632
s10-d02-cam-002,63,wash objects,3632,3801
s10-d02-cam-002,40,shake,3838,3877
s10-d02-cam-002,20,open/close drawer,3950,4010
s10-d02-cam-002,20,open/close drawer,4029,4070
s10-d02-cam-002,19,open/close cupboard,4159,4267
s10-d02-cam-002,19,open/close cupboard,4271,4329
s10-d02-cam-002,19,open/close cupboard,4329,4418
s10-d02-cam-002,19,open/close cupboard,4451,4544
s10-d02-cam-002,19,open/close cupboard,4553,4622
s10-d02-cam-002,19,open/close cupboard,4766,4825
s10-d02-cam-002,19,open/close cupboard,4831,4890
s10-d02-cam-002,54,take out from cupboard,4892,5012
s10-d02-cam-002,48,take \& put in cupboard,5133,5264
s10-d02-cam-002,55,take out from drawer,5378,5492
s10-d02-cam-002,55,take out from drawer,5574,5750
s10-d02-cam-002,55,take out from drawer,5895,5948
s10-d02-cam-002,20,open/close drawer,5948,5984
s10-d02-cam-002,55,take out from drawer,5989,6125
s10-d02-cam-002,55,take out from drawer,6163,6207
s10-d02-cam-002,16,move from X to Y,6207,6240
s10-d02-cam-002,20,open/close drawer,6413,6493
s10-d02-cam-002,55,take out from drawer,6513,6850
s10-d02-cam-002,6,cut off ends,6954,7039
s10-d02-cam-002,6,cut off ends,7069,7138
s10-d02-cam-002,63,wash objects,7193,7254
s10-d02-cam-002,24,peel,7280,8569
s10-d02-cam-002,6,cut off ends,8715,8826
s10-d02-cam-002,24,peel,8866,8976
s10-d02-cam-002,24,peel,9040,9298
s10-d02-cam-002,24,peel,9419,9786
s10-d02-cam-002,24,peel,9870,9985
s10-d02-cam-002,6,cut off ends,10090,10207
s10-d02-cam-002,16,move from X to Y,10372,10418
s10-d02-cam-002,8,cut slices,10650,11419
s10-d02-cam-002,29,put in bowl,11466,11551
s10-d02-cam-002,29,put in bowl,11553,11729
s10-d02-cam-002,29,put in bowl,11757,11820
s10-d02-cam-002,29,put in bowl,11821,11899
s10-d02-cam-002,32,put on cutting-board,11959,11990
s10-d02-cam-002,3,cut apart,12038,12154
s10-d02-cam-002,8,cut slices,12272,12857
s10-d02-cam-002,8,cut slices,12941,13441
s10-d02-cam-002,29,put in bowl,13473,13538
s10-d02-cam-002,29,put in bowl,13539,13673
s10-d02-cam-002,29,put in bowl,13707,13757
s10-d02-cam-002,29,put in bowl,13785,13823
s10-d02-cam-002,29,put in bowl,13813,13935
s10-d02-cam-002,29,put in bowl,13956,13999
s10-d02-cam-002,29,put in bowl,14011,14048
s10-d02-cam-002,29,put in bowl,14057,14106
s10-d02-cam-002,29,put in bowl,14114,14184
s10-d02-cam-002,29,put in bowl,14195,14239
s10-d02-cam-002,29,put in bowl,14239,14362
s10-d02-cam-002,29,put in bowl,14373,14489
s10-d02-cam-002,29,put in bowl,14506,14543
s10-d02-cam-002,29,put in bowl,14567,14639
s10-d02-cam-002,32,put on cutting-board,14672,14694
s10-d02-cam-002,63,wash objects,15043,15133
s10-d02-cam-002,40,shake,15133,15179
s10-d02-cam-002,40,shake,15188,15231
s10-d02-cam-002,8,cut slices,15360,16391
s10-d02-cam-002,8,cut slices,16500,16773
s10-d02-cam-002,8,cut slices,16837,17181
s10-d02-cam-002,29,put in bowl,17193,17241
s10-d02-cam-002,29,put in bowl,17248,17300
s10-d02-cam-002,29,put in bowl,17309,17377
s10-d02-cam-002,29,put in bowl,17386,17478
s10-d02-cam-002,29,put in bowl,17488,17604
s10-d02-cam-002,29,put in bowl,17604,17663
s10-d02-cam-002,32,put on cutting-board,17663,17700
s10-d02-cam-002,12,grate,18870,19257
s10-d02-cam-002,12,grate,19302,19393
s10-d02-cam-002,1, Background activity,19427,19542
s10-d02-cam-002,32,put on cutting-board,19545,19575
s10-d02-cam-002,16,move from X to Y,19660,19701
s10-d02-cam-002,1, Background activity,19701,19889
s10-d02-cam-002,12,grate,19955,20431
s10-d02-cam-002,59,taste,20433,20445
s10-d02-cam-002,12,grate,20473,21430
s10-d02-cam-002,59,taste,21459,21485
s10-d02-cam-002,37,scratch off,21538,21701
s10-d02-cam-002,37,scratch off,21716,21822
s10-d02-cam-002,29,put in bowl,21889,22233
s10-d02-cam-002,1, Background activity,22233,22358
s10-d02-cam-002,29,put in bowl,22366,22427
s10-d02-cam-002,1, Background activity,22429,22697
s10-d02-cam-002,29,put in bowl,22712,22762
s10-d02-cam-002,1, Background activity,22766,22842
s10-d02-cam-002,29,put in bowl,22858,22981
s10-d02-cam-002,1, Background activity,22983,23034
s10-d02-cam-002,29,put in bowl,23054,23128
s10-d02-cam-002,1, Background activity,23129,23285
s10-d02-cam-002,29,put in bowl,23297,23347
s10-d02-cam-002,1, Background activity,23348,23388
s10-d02-cam-002,29,put in bowl,23406,23456
s10-d02-cam-002,1, Background activity,23457,23529
s10-d02-cam-002,29,put in bowl,23551,23599
s10-d02-cam-002,1, Background activity,23607,23755
s10-d02-cam-002,29,put in bowl,23807,23844
s10-d02-cam-002,1, Background activity,23845,23941
s10-d02-cam-002,29,put in bowl,24024,24091
s10-d02-cam-002,1, Background activity,24099,24272
s10-d02-cam-002,29,put in bowl,24339,24430
s10-d02-cam-002,1, Background activity,24433,24577
s10-d02-cam-002,40,shake,24589,24620
s10-d02-cam-002,1, Background activity,24620,24711
s10-d02-cam-002,29,put in bowl,24756,24919
s10-d02-cam-002,29,put in bowl,24956,25014
s10-d02-cam-002,16,move from X to Y,25064,25121
s10-d02-cam-002,63,wash objects,25311,25359
s10-d02-cam-002,1, Background activity,25390,25681
s10-d02-cam-002,16,move from X to Y,25681,25726
s10-d02-cam-002,40,shake,25726,25743
s10-d02-cam-002,54,take out from cupboard,25855,26244
s10-d02-cam-002,48,take \& put in cupboard,26277,26409
s10-d02-cam-002,54,take out from cupboard,26436,26511
s10-d02-cam-002,39,screw open,26521,26598
s10-d02-cam-002,26,pour,26651,27200
s10-d02-cam-002,38,screw close,27224,27315
